name,price,psf,address,description,bedroom,bathroom,carpark
"Horizon Hills, Iskandar Puteri (Nusajaya)","RM 838,000",(RM 364.35 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,300 sq. ft.",4+1,5,
"Teman Eco Botanic, Iskandar Puteri (Nusajaya)","RM 1,150,000",(RM 580.81 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","2.5-sty Terrace/Link House  •  Built-up : 1,980 sq. ft.",4,4,2
"Ledang height, Iskandar Puteri (Nusajaya)","RM 6,200,000",(RM 940.82 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","Bungalow  •  Built-up : 6,590 sq. ft.",5,5,4
"Seri Mutiara Apartment, Bandar Baru Seri Alam, Masai","RM 300,000",(RM 230.77 per sq. ft.),"Masai, Johor","Apartment | Intermediate  •  Built-up : 1,300 sq. ft.  •  Partly furnished",3+1,2,3
"TAMAN IMPIANA SCIENTEX, Pasir Gudang","RM 545,000",(RM 262.02 per sq. ft.),"Pasir Gudang, Johor","Cluster House | Intermediate  •  Built-up : 2,080 sq. ft.  •  Partly furnished",4,3,3
"TAMAN CAHAYA MASAI, Masai","RM 245,000",(RM 318.18 per sq. ft.),"Masai, Johor",2-sty Terrace/Link House | Intermediate  •  Built-up : 770 sq. ft.  •  Partly furnished,3,3,1
"BANDAR SERI IMPIAN, Kluang","RM 345,000",(RM 209.09 per sq. ft.),"Kluang, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,650 sq. ft.",4,3,2
"TAMAN DAYA, Johor Bahru","RM 370,000",(RM 240.26 per sq. ft.),"Johor Bahru, Johor","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,540 sq. ft.  •  Unfurnished",3,2,2
"Jentayu Residensi @ Tampoi, Johor Bahru","RM 285,000",(RM 297.49 per sq. ft.),"Johor Bahru, Johor",Serviced Residence | Intermediate  •  Built-up : 958 sq. ft.  •  Fully furnished,3,2,1
"Bandar Putra Kulai, IOI Palm Villa Gate A, Kulai","RM 3,800,000",(RM 950 per sq. ft.),"Kulai, Johor","Bungalow  •  Built-up : 4,000 sq. ft.",5+1,5,5
"Eco Summer, Milton, Johor Bahru","RM 800,000",(RM 426.67 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,875 sq. ft.  •  Partly furnished",4,3,2
"Eco Summer, Charlton, Johor Bahru","RM 800,000",(RM 416.67 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,920 sq. ft.  •  Unfurnished",4,3,2
"Setia Eco Garden, Gelang Patah, Iskandar Puteri (Nusajaya)","RM 1,250,000",(RM 386.52 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","Semi-detached House | Intermediate  •  Built-up : 3,234 sq. ft.  •  Partly furnished",4,5,3
"The Canal Garden South, Horizon Hills, Horizon Hills","RM 950,000",(RM 380 per sq. ft.),"Horizon Hills, Johor","Cluster House | Intermediate  •  Built-up : 2,500 sq. ft.  •  Unfurnished",4+1,5,2
"Eco Summer, Knighton, Johor Bahru","RM 888,000",(RM 448.48 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,980 sq. ft.  •  Partly furnished",4,3,2
"Space Residency, Johor Bahru","RM 785,000",(RM 892.05 per sq. ft.),"Johor Bahru, Johor",Serviced Residence | Corner lot  •  Built-up : 880 sq. ft.  •  Fully furnished,3,3,2
"Southern Marina Residences, Puteri Harbour, Iskandar Puteri (Nusajaya)","RM 1,002,800",(RM 1193.81 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor",Condominium  •  Built-up : 840 sq. ft.  •  Partly furnished,1+1,1,2
"R&F Princess Cove, Johor Bahru","RM 1,090,000",(RM 785.87 per sq. ft.),"Johor Bahru, Johor","Serviced Residence | Intermediate  •  Built-up : 1,387 sq. ft.  •  Partly furnished",4,3,2
"Southern Marina Residences, Puteri Harbour, Iskandar Puteri (Nusajaya)","RM 1,276,800",(RM 977.64 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","Condominium  •  Built-up : 1,306 sq. ft.  •  Partly furnished",2+1,2,2
"Southern Marina Residences, Puteri Harbour, Iskandar Puteri (Nusajaya)","RM 1,936,800",(RM 967.92 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","Condominium | Corner lot  •  Built-up : 2,001 sq. ft.  •  Partly furnished",3+1,3,3
"Taman Puteri Park KSL Next to Pelangi Indah, Ulu Tiram","RM 898,000",(RM 359.2 per sq. ft.),"Ulu Tiram, Johor","2-sty Terrace/Link House | End lot  •  Built-up : 2,500 sq. ft.  •  Partly furnished",5+1,5,3
"Taman Desa Tebrau, Johor Bahru","RM 1,180,000",(RM 462.93 per sq. ft.),"Johor Bahru, Johor","Cluster House | Intermediate  •  Built-up : 2,549 sq. ft.  •  Unfurnished",4+1,4,
"Taman Seri Austin, Johor Bahru","RM 650,000",(RM 333.33 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,950 sq. ft.  •  Unfurnished",4+1,3,2
"Sky Gardens Residences, Setia Tropika, Tampoi","RM 388,000",(RM 355.31 per sq. ft.),"Tampoi, Johor","Serviced Residence | Intermediate  •  Built-up : 1,092 sq. ft.  •  Partly furnished",4,2,1
"Taman pelangi indah, Ulu Tiram","RM 628,000",(RM 327.08 per sq. ft.),"Ulu Tiram, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,920 sq. ft.  •  Unfurnished",3+1,3,2
"Meridin East & Bistari Perdana, Pasir Gudang","RM 415,000",(RM 354.7 per sq. ft.),"Pasir Gudang, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,170 sq. ft.",4,3,2
"Austin Heights, Tebrau,Adda Heights, Johor Bahru, Johor Bahru","RM 1,300,000",(RM 352.4 per sq. ft.),"Johor Bahru, Johor","Semi-detached House | Intermediate  •  Built-up : 3,689 sq. ft.  •  Partly furnished",4+1,5,2
"Skudai Baru Single Storey Terrace House, Skudai","RM 458,000",(RM 297.4 per sq. ft.),"Skudai, Johor","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,540 sq. ft.  •  Unfurnished",3,2,2
"Taman Pelangi indah, Johor Bahru","RM 648,000",(RM 368.18 per sq. ft.),"Johor Bahru, Johor","1.5-sty Terrace/Link House | End lot  •  Built-up : 1,760 sq. ft.  •  Fully furnished",3,3,2
Johor Bahru,"RM 528,000",(RM 342.86 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,540 sq. ft.  •  Partly furnished",4,3,2
"bandar sei alam mega ria masai, Masai","RM 850,000",(RM 314.81 per sq. ft.),"Masai, Johor","2-sty Terrace/Link House | End lot  •  Built-up : 2,700 sq. ft.  •  Partly furnished",4+1,5,4
"East Ledang @ Semi D, Johor Bahru","RM 1,200,000",(RM 296.3 per sq. ft.),"Johor Bahru, Johor","Semi-detached House | End lot  •  Built-up : 4,050 sq. ft.  •  Partly furnished",5,5,2
"Austin Duta Corner, Setia Indah","RM 1,000,000",(RM 451.67 per sq. ft.),"Setia Indah, Johor","2-sty Terrace/Link House | Corner lot  •  Built-up : 2,214 sq. ft.",4+1,4,
"Taman mutiara , Skudai","RM 990,000",(RM 250.76 per sq. ft.),"Skudai, Johor","Cluster House | Corner lot  •  Built-up : 3,948 sq. ft.  •  Unfurnished",4+1,4,2
"Seri Austin, Johor Bahru","RM 899,000",(RM 347.37 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,588 sq. ft.  •  Fully furnished",4+1,4,4
"Horizon Hill @ Gateway, Johor Bahru","RM 690,000",(RM 373.98 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,845 sq. ft.  •  Partly furnished",4,3,2
"Taman Austin Heights, Tebrau","RM 850,000",(RM 379.46 per sq. ft.),"Tebrau, Johor","Cluster House | Intermediate  •  Built-up : 2,240 sq. ft.  •  Partly furnished",4,4,
"Taman Impian Emas @ Raintree Terraces, Johor Bahru","RM 650,000",(RM 316.61 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,053 sq. ft.  •  Partly furnished",4+2,4,2
"Taman Desa Tebrau 2.5 storey semi d , Johor Bahru","RM 870,000",(RM 310.71 per sq. ft.),"Johor Bahru, Johor","Semi-detached House | Intermediate  •  Built-up : 2,800 sq. ft.  •  Unfurnished",6,5,
"Setia Sky 88, Johor Bahru","RM 559,000",(RM 649.25 per sq. ft.),"Johor Bahru, Johor",Serviced Residence | Intermediate  •  Built-up : 861 sq. ft.  •  Fully furnished,1+1,1,1
Perling,"RM 710,000",(RM 238.66 per sq. ft.),"Perling, Johor","Semi-detached House | Intermediate  •  Built-up : 2,975 sq. ft.  •  Unfurnished",4,3,
"Taman Sri Skudai, Skudai","RM 360,000",(RM 233.77 per sq. ft.),"Skudai, Johor","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,540 sq. ft.  •  Unfurnished",3,2,
"Bestari indah low cost double storey, Johor Bahru","RM 299,999",(RM 389.61 per sq. ft.),"Johor Bahru, Johor",2-sty Terrace/Link House  •  Built-up : 770 sq. ft.,3,2,2
"Seri Alam ,Jalan Gunung, Masai","RM 498,000",(RM 296.43 per sq. ft.),"Masai, Johor","1-sty Terrace/Link House | Corner lot  •  Built-up : 1,680 sq. ft.  •  Partly furnished",3,2,2
"The Woodlands, Horizon Hills","RM 1,397,000",(RM 444.34 per sq. ft.),"Horizon Hills, Johor","Cluster House  •  Built-up : 3,144 sq. ft.",5+1,5,
"Taman Seri Austin, Mount Austin, Johor Bahru","RM 480,000",(RM 410.26 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,170 sq. ft.",4,3,2
"Eco Spring, Dover, Johor Bahru","RM 1,280,000",(RM 542.37 per sq. ft.),"Johor Bahru, Johor","Cluster House | Intermediate  •  Built-up : 2,360 sq. ft.  •  Fully furnished",4,5,
"Taman Setia Tropika, Setia Tropika","RM 630,000",(RM 393.75 per sq. ft.),"Setia Tropika, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,600 sq. ft.  •  Partly furnished",4,3,2
"Larkin Heights, Larkin, Johor Bahru","RM 330,000",(RM 360.26 per sq. ft.),"Johor Bahru, Johor",Serviced Residence | Intermediate  •  Built-up : 916 sq. ft.  •  Fully furnished,3,2,2
"Taman Mount Austin, Johor Bahru","RM 530,000",(RM 407.69 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House  •  Built-up : 1,300 sq. ft.",4,3,
"Taman Nusa Sentral, Iskandar Puteri (Nusajaya)","RM 630,000",(RM 450 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.  •  Partly furnished",4,3,2
"Valley West 1, Horizon Hills, Horizon Hills","RM 768,000",(RM 363.81 per sq. ft.),"Horizon Hills, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,111 sq. ft.  •  Partly furnished",4,3,
"Danga bay , Johor bahru , Straits View 8, Johor Bahru","RM 7,000,000",(RM 854.91 per sq. ft.),"Johor Bahru, Johor","Bungalow | Intermediate  •  Built-up : 8,188 sq. ft.  •  Fully furnished",11,8,4
"Fairway Suites, Horizon Hills, Iskandar Puteri (Nusajaya)","RM 580,000",(RM 458.14 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","Condominium | Corner lot  •  Built-up : 1,266 sq. ft.  •  Fully furnished",3,2,2
"Horizon Hills Golf East For Sale, Iskandar Puteri (Nusajaya)","RM 1,500,000",(RM 415.63 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","Semi-detached House | Intermediate  •  Built-up : 3,609 sq. ft.",5,5,
"Nusa Sentral Near Horizon Hills, Iskandar Puteri (Nusajaya)","RM 668,000",(RM 286.82 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,329 sq. ft.  •  Partly furnished",4,3,2
"Indahpura , Kulai","RM 780,000",(RM 506.49 per sq. ft.),"Kulai, Johor","2-sty Terrace/Link House | Corner lot  •  Built-up : 1,540 sq. ft.  •  Partly furnished",3,3,
"Mutiara Rini, Skudai","RM 570,000",(RM 370.13 per sq. ft.),"Skudai, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,540 sq. ft.  •  Partly furnished",4,3,
"Taman Kota Kulai, Kulai","RM 338,000",(RM 219.48 per sq. ft.),"Kulai, Johor","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,540 sq. ft.  •  Partly furnished",3,2,
"Lakeview Residency, Kulai","RM 960,000",(RM 267.04 per sq. ft.),"Kulai, Johor","Semi-detached House | Intermediate  •  Built-up : 3,595 sq. ft.  •  Unfurnished",4+1,4,2
"Bandar Putra, Huge Land Size Semi-D , Kulai","RM 2,200,000",(RM 488.89 per sq. ft.),"Kulai, Johor","Semi-detached House  •  Built-up : 4,500 sq. ft.  •  Unfurnished",5+1,6,10
"Taman Molek Ponderosa Green , Johor Bahru","RM 435,000",(RM 334.62 per sq. ft.),"Johor Bahru, Johor","1.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,300 sq. ft.  •  Partly furnished",4,2,
"Taman Molek, Johor Bahru","RM 725,000",(RM 362.5 per sq. ft.),"Johor Bahru, Johor","1.5-sty Terrace/Link House | End lot  •  Built-up : 2,000 sq. ft.",4,3,
"Taman Gaya, Ulu Tiram","RM 480,000",(RM 227.38 per sq. ft.),"Ulu Tiram, Johor","1-sty Terrace/Link House | Intermediate  •  Built-up : 2,111 sq. ft.  •  Partly furnished",3,2,
"Bandar Dato Onn P15, Johor Bahru","RM 648,000",(RM 324 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,000 sq. ft.  •  Partly furnished",4,4,
"Villa Krystal Apartment, Bandar Selesa Jaya, Skudai","RM 235,000",(RM 255.43 per sq. ft.),"Skudai, Johor",Apartment | Intermediate  •  Built-up : 920 sq. ft.  •  Unfurnished,2+1,2,1
"Tebrau, Johor Bahru","RM 650,000",(RM 464.29 per sq. ft.),"Johor Bahru, Johor","1-sty Terrace/Link House | Corner lot  •  Built-up : 1,400 sq. ft.  •  Partly furnished",3,2,
"Molek Regency, Johor Bahru","RM 985,000",(RM 345.01 per sq. ft.),"Johor Bahru, Johor","Serviced Residence | Penthouse  •  Built-up : 2,855 sq. ft.  •  Partly furnished",5+1,6,1
"Taman Ungku Tun Aminah, Skudai","RM 480,000",(RM 342.86 per sq. ft.),"Skudai, Johor","1-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",3,2,2
"Molek Regency, Johor Bahru","RM 800,000",(RM 431.27 per sq. ft.),"Johor Bahru, Johor","Serviced Residence | Intermediate  •  Built-up : 1,855 sq. ft.  •  Fully furnished",4+1,4,2
"East Ledang , Iskandar Puteri (Nusajaya)","RM 2,950,000",(RM 576.96 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","Bungalow  •  Built-up : 5,113 sq. ft.",5,4,
"The Valley West II, Horizon Hills","RM 1,039,590",(RM 405.93 per sq. ft.),"Horizon Hills, Johor","2-sty Terrace/Link House | Corner lot  •  Built-up : 2,561 sq. ft.  •  Unfurnished",4,4,
"Jalan Indah 10, Taman Bukit Indah,Iskandar Puteri, Johor Bahru","RM 680,000",(RM 485.71 per sq. ft.),"Johor Bahru, Johor","2.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.  •  Fully furnished",4,3,
"Permas, Permas Jaya","RM 598,000",(RM 362.42 per sq. ft.),"Permas Jaya, Johor","1-sty Terrace/Link House | Corner lot  •  Built-up : 1,650 sq. ft.  •  Unfurnished",3,2,2
"Mount Austin Austin Perdana Semi D Corner, Johor Bahru","RM 1,580,000",(RM 283.82 per sq. ft.),"Johor Bahru, Johor","Semi-detached House | Corner lot  •  Built-up : 5,567 sq. ft.  •  Partly furnished",4+1,5,
"Ledang Heights Bungalow House for sales , Iskandar Puteri (Nusajaya)","RM 2,900,000",(RM 193.46 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","Bungalow | Intermediate  •  Built-up : 14,990 sq. ft.  •  Partly furnished",5+1,5,2
"East ledang Bungalow house, Johor Bahru","RM 3,380,000",(RM 563.33 per sq. ft.),"Johor Bahru, Johor","Bungalow | Intermediate  •  Built-up : 6,000 sq. ft.  •  Partly furnished",6,7,2
"Seri Austin , Johor Bahru","RM 609,000",(RM 320.53 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,900 sq. ft.  •  Partly furnished",4+1,3,2
Horizon Hills,"RM 1,180,000",(RM 351.4 per sq. ft.),"Horizon Hills, Johor","Cluster House | Intermediate  •  Built-up : 3,358 sq. ft.  •  Partly furnished",4+1,5,2
"taman gaya , Ulu Tiram","RM 630,000",(RM 223.8 per sq. ft.),"Ulu Tiram, Johor","2.5-sty Terrace/Link House  •  Built-up : 2,815 sq. ft.",5,5,2
"Desa Tebaru ,Taman Mount Austin,Setia indah, Johor Bahru","RM 1,180,000",(RM 491.67 per sq. ft.),"Johor Bahru, Johor","Cluster House | Corner lot  •  Built-up : 2,400 sq. ft.  •  Unfurnished",5,5,2
"Eco Tropics, Greensgate, Harrison, Masai, Pasir Gu, Masai","RM 460,000",(RM 277.28 per sq. ft.),"Masai, Johor","2-sty Terrace/Link House  •  Built-up : 1,659 sq. ft.",3,3,2
"Seri Austin, Austin , Johor Bahru","RM 890,000",(RM 322 per sq. ft.),"Johor Bahru, Johor","Cluster House | Intermediate  •  Built-up : 2,764 sq. ft.  •  Partly furnished",4+1,4,3
"Gelang Patah, Johor Bahru","RM 538,000",(RM 384.29 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.  •  Unfurnished",4,3,
"Tropez Residences, Danga Bay, Johor Bahru","RM 320,000",(RM 655.74 per sq. ft.),"Johor Bahru, Johor",Serviced Residence  •  Built-up : 488 sq. ft.,Studio,1,1
"The Astaka @ 1 Bukit Senyum, Johor Bahru","RM 2,000,000",(RM 902.12 per sq. ft.),"Johor Bahru, Johor","Condominium  •  Built-up : 2,217 sq. ft.  •  Partly furnished",3,4,2
"Taman Sri Putri , Skudai","RM 488,000",(RM 316.88 per sq. ft.),"Skudai, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,540 sq. ft.",4,3,
"Austin Regency (Pangsapuri Austin Perdana), Taman Austin Perdana, Tebrau","RM 438,000",(RM 438.44 per sq. ft.),"Tebrau, Johor",Apartment | Corner lot  •  Built-up : 999 sq. ft.  •  Fully furnished,3,2,2
Ayer Hitam,"RM 170,000",(RM 17.01 per sq. ft.),"Ayer Hitam, Johor","Residential Land  •  Land area : 9,997 sq. ft.",,,
"Skudai, Johor Bahru","RM 488,000",(RM 316.88 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,540 sq. ft.  •  Partly furnished",4,3,2
"Taman Sutera Perling, Perling","RM 890,000",(RM 272.17 per sq. ft.),"Perling, Johor","2-sty Terrace/Link House | End lot  •  Built-up : 3,270 sq. ft.  •  Unfurnished",4,4,2
"Skysuites @ Meldrum Hills, Johor Bahru","RM 385,000",(RM 662.65 per sq. ft.),"Johor Bahru, Johor",Apartment  •  Built-up : 581 sq. ft.  •  Fully furnished,1,1,1
"Eco Spring @ Dover, Johor Bahru","RM 2,000,000",(RM 444.44 per sq. ft.),"Johor Bahru, Johor","Semi-detached House | Intermediate  •  Built-up : 4,500 sq. ft.  •  Fully furnished",4,5,5
"Seri Alam , Johor Bahru","RM 520,000",(RM 301.27 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,726 sq. ft.  •  Unfurnished",4,3,
"Horizon Hills The Golf West, Horizon Hills","RM 2,500,000",(RM 555.56 per sq. ft.),"Horizon Hills, Johor","Bungalow | Intermediate  •  Built-up : 4,500 sq. ft.  •  Fully furnished",5+1,5,2
"Tampoi Aliff, Johor bahru, Bandar Uda, Larkin, Johor Bahru","RM 295,000",(RM 542.28 per sq. ft.),"Johor Bahru, Johor",1-sty Terrace/Link House  •  Built-up : 544 sq. ft.,1+1,1,1
Setia Tropika,"RM 900,000",(RM 367.35 per sq. ft.),"Setia Tropika, Johor","Cluster House | End lot  •  Built-up : 2,450 sq. ft.  •  Fully furnished",5,5,
"AmberSide @ Country Garden Danga Bay, Johor Bahru","RM 530,000",(RM 757.14 per sq. ft.),"Johor Bahru, Johor",Condominium  •  Built-up : 700 sq. ft.  •  Partly furnished,2,1,1
Kulai,"RM 401,800",(RM 287 per sq. ft.),"Kulai, Johor","2-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",4,3,1
"Meridin Suites @ The Meridin, Medini, Iskandar Puteri (Nusajaya)","RM 390,000",(RM 393.94 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor",Serviced Residence | End lot  •  Built-up : 990 sq. ft.  •  Fully furnished,2,2,2
"Taman Molek Impian Molek, Johor Bahru","RM 1,380,000",(RM 287.5 per sq. ft.),"Johor Bahru, Johor","Semi-detached House | Corner lot  •  Built-up : 4,800 sq. ft.  •  Fully furnished",4,5,
"Danga Sutera @ Sutera Utama, Johor Bahru","RM 793,000",(RM 365.44 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,170 sq. ft.  •  Unfurnished",4,4,
"Taman Pelangi Indah, Ulu Tiram","RM 538,000",(RM 280.21 per sq. ft.),"Ulu Tiram, Johor","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,920 sq. ft.  •  Partly furnished",3,2,
"Horizon Hills @ Canal Garden South, Iskandar Puteri (Nusajaya)","RM 968,000",(RM 384.89 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","Cluster House  •  Built-up : 2,515 sq. ft.",4+1,5,
"Marina Residence, Taman Bayu Puteri, Johor Bahru","RM 450,000",(RM 370.98 per sq. ft.),"Johor Bahru, Johor","Serviced Residence | Intermediate  •  Built-up : 1,213 sq. ft.  •  Fully furnished",4,2,1
"Palm Villa Gate B @ Bandar Putra, Kulai","RM 2,200,000",(RM 492.61 per sq. ft.),"Kulai, Johor","Bungalow  •  Built-up : 4,466 sq. ft.  •  Partly furnished",7,6,
"Taman Setia Mutiara, Kluang","RM 358,000",(RM 258.48 per sq. ft.),"Kluang, Johor","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,385 sq. ft.  •  Fully furnished",3,2,2
"Eco Spring, Setia Eco Cascadia, Johor Bahru","RM 1,600,000",(RM 507.94 per sq. ft.),"Johor Bahru, Johor","Cluster House | Intermediate  •  Built-up : 3,150 sq. ft.  •  Partly furnished",5,5,
"Taman Puterimas, Kluang","RM 250,000",(RM 252.53 per sq. ft.),"Kluang, Johor",1-sty Terrace/Link House  •  Built-up : 990 sq. ft.,3,2,2
"Austin Regency (Pangsapuri Austin Perdana), Taman Austin Perdana, Tebrau","RM 340,000",(RM 515.15 per sq. ft.),"Tebrau, Johor",Apartment  •  Built-up : 660 sq. ft.  •  Fully furnished,2+1,1,1
Skudai,"RM 847,700",(RM 359.19 per sq. ft.),"Skudai, Johor","Semi-detached House  •  Built-up : 2,360 sq. ft.",4,4,6
Kluang,"RM 718,000",(RM 554.01 per sq. ft.),"Kluang, Johor","Semi-detached House  •  Built-up : 1,296 sq. ft.  •  Unfurnished",4,4,2
"Adda Heights, Taman Adda heights, Johor Bahru","RM 700,000",(RM 307.02 per sq. ft.),"Johor Bahru, Johor","Semi-detached House | Intermediate  •  Built-up : 2,280 sq. ft.  •  Partly furnished",4+1,5,3
"Adda Heights, Maple Red, Johor Bahru","RM 988,000",(RM 346.67 per sq. ft.),"Johor Bahru, Johor","Cluster House | Intermediate  •  Built-up : 2,850 sq. ft.  •  Fully furnished",4+1,3,3
"FUL LOAN Taman Muhibbah Saleng, CORNER LOT, Kulai","RM 340,000",(RM 325.67 per sq. ft.),"Kulai, Johor","2-sty Terrace/Link House | Corner lot  •  Built-up : 1,044 sq. ft.  •  Unfurnished",4,3,
"Taman Bandar Cemerlang, Ulu Tiram","RM 860,000",(RM 298.61 per sq. ft.),"Ulu Tiram, Johor","Semi-detached House | Intermediate  •  Built-up : 2,880 sq. ft.  •  Unfurnished",5,4,
"Taman Suria, Johor Bahru","RM 590,000",(RM 383.12 per sq. ft.),"Johor Bahru, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,540 sq. ft.",4,3,
"FUL LOAN Taman Bukit Indah, Iskandar Puteri (Nusajaya)","RM 588,000",(RM 420 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,400 sq. ft.  •  Unfurnished",4,3,
"D'Summit Residences, Taman Kempas Utama, Skudai","RM 285,000",(RM 373.04 per sq. ft.),"Skudai, Johor",Serviced Residence  •  Built-up : 764 sq. ft.,2,2,1
"D'Summit Residences, Taman Kempas Utama, Skudai","RM 426,000",(RM 344.1 per sq. ft.),"Skudai, Johor","Serviced Residence  •  Built-up : 1,238 sq. ft.",4+1,3,2
"Taman Permas Jaya, Permas Jaya","RM 550,000",(RM 333.33 per sq. ft.),"Permas Jaya, Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,650 sq. ft.  •  Partly furnished",4+1,3,2
"The Platino Serviced Apartment, Taman Bukit Mewah, Tampoi","RM 574,000",(RM 395.04 per sq. ft.),"Tampoi, Johor","Serviced Residence  •  Built-up : 1,453 sq. ft.",4,3,2
Kluang,"RM 405,040",(RM 280.3 per sq. ft.),"Kluang, Johor","Bungalow | Intermediate  •  Built-up : 1,445 sq. ft.  •  Unfurnished",4,3,2
"Kota Masai, Masai","RM 480,000",(RM 195.92 per sq. ft.),"Masai, Johor","Cluster House  •  Built-up : 2,450 sq. ft.",4,2,
"The Platino Serviced Apartment, Taman Bukit Mewah, Tampoi","RM 370,000",(RM 446.32 per sq. ft.),"Tampoi, Johor",Serviced Residence  •  Built-up : 829 sq. ft.,2,2,1
"Wave Marina Cove (Pangsapuri Tepian Bayu), Taman Iskandar, Johor Bahru","RM 432,000",(RM 544.77 per sq. ft.),"Johor Bahru, Johor",Serviced Residence  •  Built-up : 793 sq. ft.,2,2,1
"Wave Marina Cove (Pangsapuri Tepian Bayu), Taman Iskandar, Johor Bahru","RM 550,000",(RM 498.64 per sq. ft.),"Johor Bahru, Johor","Serviced Residence  •  Built-up : 1,103 sq. ft.",3,2,2
"Wave Marina Cove (Pangsapuri Tepian Bayu), Taman Iskandar, Johor Bahru","RM 590,000",(RM 438.99 per sq. ft.),"Johor Bahru, Johor","Serviced Residence  •  Built-up : 1,344 sq. ft.",4,3,2
"Sky Gardens Residences, Setia Tropika, Tampoi","RM 378,000",(RM 346.15 per sq. ft.),"Tampoi, Johor","Serviced Residence | Intermediate  •  Built-up : 1,092 sq. ft.  •  Partly furnished",3,3,1
"Taman Nusa Sentral, Iskandar Puteri (Nusajaya)","RM 700,000",(RM 304.35 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,300 sq. ft.  •  Partly furnished",4,3,
"Taman Nusa Bayu , Iskandar Puteri (Nusajaya)","RM 500,000",(RM 320.51 per sq. ft.),"Iskandar Puteri (Nusajaya), Johor","2-sty Terrace/Link House | End lot  •  Built-up : 1,560 sq. ft.  •  Unfurnished",4,3,
